mal_id,title,title_english,title_japanese,genres,url,item_idx
10483,"Sengoku Basara Ni: Ryuko, Itadaki no Chikai! Atsuki Mirai e Kakeru Tamashii!!",,戦国BASARA 弐: 竜虎、頂の誓い! 熱き未来へ駆ける魂!!,['Action'],https://myanimelist.net/anime/10483/Sengoku_Basara_Ni__Ryuko_Itadaki_no_Chikai_Atsuki_Mirai_e_Kakeru_Tamashii,3884.0
30652,Long Riders!,Long Riders!,ろんぐらいだぁす！,"['Comedy', 'Sports']",https://myanimelist.net/anime/30652/Long_Riders,5551.0
18857,Ore no Imouto ga Konnani Kawaii Wake ga Nai. Specials,OreImo 2 Specials,俺の妹がこんなに可愛いわけがない。,"['Comedy', 'Romance']",https://myanimelist.net/anime/18857/Ore_no_Imouto_ga_Konnani_Kawaii_Wake_ga_Nai_Specials,4722.0
36816,Godzilla 2: Kessen Kidou Zoushoku Toshi,Godzilla: City on the Edge of Battle,GODZILLA 決戦機動増殖都市,"['Action', 'Adventure', 'Sci-Fi']",https://myanimelist.net/anime/36816/Godzilla_2__Kessen_Kidou_Zoushoku_Toshi,6740.0
49612,Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World,人間不信の冒険者たちが世界を救うようです,"['Action', 'Adventure', 'Fantasy']",https://myanimelist.net/anime/49612/Ningen_Fushin_no_Boukensha-tachi_ga_Sekai_wo_Sukuu_you_desu,8329.0
40472,Boku to Joi no Shinsatsu Nisshi The Animation,,ボクと彼女[女医]の診察日誌 THE ANIMATION,['Hentai'],https://myanimelist.net/anime/40472/Boku_to_Joi_no_Shinsatsu_Nisshi_The_Animation,7553.0
39165,Oki ni Mesu mama,As You Like It,お気に召すまま,[],https://myanimelist.net/anime/39165/Oki_ni_Mesu_mama,7284.0
1457,Key the Metal Idol,Key the Metal Idol,KEY THE METAL IDOL,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",https://myanimelist.net/anime/1457/Key_the_Metal_Idol,1166.0
12221,Precure All Stars Movie New Stage: Mirai no Tomodachi,,映画 プリキュアオールスターズNew Stage みらいのともだち,[],https://myanimelist.net/anime/12221/Precure_All_Stars_Movie_New_Stage__Mirai_no_Tomodachi,4143.0
15411,Arcana Famiglia: Capriccio - stile Arcana Famiglia,La storia della Arcana Famiglia OVA,アルカナ・ファミリア Capriccio – stile Arcana Famiglia 奇想曲～アルカナ・ファミリア風,"['Fantasy', 'Romance']",https://myanimelist.net/anime/15411/Arcana_Famiglia__Capriccio_-_stile_Arcana_Famiglia,4419.0
